"","state","site","date","dailycases","note"
"443","Brazil","Centro-Oeste",2020-04-12,58,"NA"
"444","Brazil","Centro-Oeste",2020-04-13,51,"NA"
"445","Brazil","Centro-Oeste",2020-04-14,70,"NA"
"446","Brazil","Centro-Oeste",2020-04-15,70,"NA"
"447","Brazil","Centro-Oeste",2020-04-16,63,"NA"
"448","Brazil","Centro-Oeste",2020-04-17,65,"NA"
"449","Brazil","Centro-Oeste",2020-04-18,86,"NA"
"450","Brazil","Centro-Oeste",2020-04-19,90,"NA"
"451","Brazil","Centro-Oeste",2020-04-20,65,"NA"
"452","Brazil","Centro-Oeste",2020-04-21,29,"NA"
"453","Brazil","Centro-Oeste",2020-04-22,86,"NA"
"454","Brazil","Centro-Oeste",2020-04-23,81,"NA"
"455","Brazil","Centro-Oeste",2020-04-24,105,"NA"
"456","Brazil","Centro-Oeste",2020-04-25,55,"NA"
"457","Brazil","Centro-Oeste",2020-04-26,140,"NA"
"458","Brazil","Centro-Oeste",2020-04-27,134,"NA"
"459","Brazil","Centro-Oeste",2020-04-28,118,"NA"
"460","Brazil","Centro-Oeste",2020-04-29,146,"NA"
"461","Brazil","Centro-Oeste",2020-04-30,168,"NA"
"462","Brazil","Centro-Oeste",2020-05-01,166,"NA"
"463","Brazil","Distrito Federal",2020-02-26,0,"NA"
"464","Brazil","Distrito Federal",2020-02-27,0,"NA"
"465","Brazil","Distrito Federal",2020-02-28,0,"NA"
"466","Brazil","Distrito Federal",2020-02-29,0,"NA"
"467","Brazil","Distrito Federal",2020-03-01,0,"NA"
"468","Brazil","Distrito Federal",2020-03-02,0,"NA"
"469","Brazil","Distrito Federal",2020-03-03,0,"NA"
"470","Brazil","Distrito Federal",2020-03-04,0,"NA"
"471","Brazil","Distrito Federal",2020-03-05,0,"NA"
"472","Brazil","Distrito Federal",2020-03-06,0,"NA"
"473","Brazil","Distrito Federal",2020-03-07,1,"NA"
"474","Brazil","Distrito Federal",2020-03-08,0,"NA"
"475","Brazil","Distrito Federal",2020-03-09,0,"NA"
"476","Brazil","Distrito Federal",2020-03-10,0,"NA"
"477","Brazil","Distrito Federal",2020-03-11,1,"NA"
"478","Brazil","Distrito Federal",2020-03-12,0,"NA"
"479","Brazil","Distrito Federal",2020-03-13,0,"NA"
"480","Brazil","Distrito Federal",2020-03-14,4,"NA"
"481","Brazil","Distrito Federal",2020-03-15,2,"NA"
"482","Brazil","Distrito Federal",2020-03-16,5,"NA"
"483","Brazil","Distrito Federal",2020-03-17,9,"NA"
"484","Brazil","Distrito Federal",2020-03-18,4,"NA"
"485","Brazil","Distrito Federal",2020-03-19,16,"NA"
"486","Brazil","Distrito Federal",2020-03-20,45,"NA"
"487","Brazil","Distrito Federal",2020-03-21,13,"NA"
"488","Brazil","Distrito Federal",2020-03-22,17,"NA"
"489","Brazil","Distrito Federal",2020-03-23,16,"NA"
"490","Brazil","Distrito Federal",2020-03-24,27,"NA"
"491","Brazil","Distrito Federal",2020-03-25,0,"NA"
"492","Brazil","Distrito Federal",2020-03-26,40,"NA"
"493","Brazil","Distrito Federal",2020-03-27,30,"NA"
"494","Brazil","Distrito Federal",2020-03-28,30,"NA"
"495","Brazil","Distrito Federal",2020-03-29,29,"NA"
"496","Brazil","Distrito Federal",2020-03-30,23,"NA"
"497","Brazil","Distrito Federal",2020-03-31,20,"NA"
"498","Brazil","Distrito Federal",2020-04-01,23,"NA"
"499","Brazil","Distrito Federal",2020-04-02,15,"NA"
