"","state","date","site","dailycases"
"345","Norway",2020-08-29,"Innlandet",1
"346","Norway",2020-08-30,"Innlandet",9
"347","Norway",2020-08-31,"Innlandet",1
"348","Norway",2020-09-01,"Innlandet",10
"349","Norway",2020-09-02,"Innlandet",1
"350","Norway",2020-09-03,"Innlandet",3
"351","Norway",2020-09-04,"Innlandet",3
"352","Norway",2020-09-05,"Innlandet",3
"353","Norway",2020-09-06,"Innlandet",1
"354","Norway",2020-09-07,"Innlandet",0
"355","Norway",2020-09-08,"Innlandet",6
"356","Norway",2020-09-09,"Innlandet",3
"357","Norway",2020-09-10,"Innlandet",1
"358","Norway",2020-09-11,"Innlandet",2
"359","Norway",2020-09-12,"Innlandet",3
"360","Norway",2020-09-13,"Innlandet",2
"361","Norway",2020-09-14,"Innlandet",0
"362","Norway",2020-09-15,"Innlandet",0
"363","Norway",2020-09-16,"Innlandet",1
"364","Norway",2020-09-17,"Innlandet",3
"365","Norway",2020-09-18,"Innlandet",3
"366","Norway",2020-09-19,"Innlandet",7
"367","Norway",2020-09-20,"Innlandet",2
"368","Norway",2020-09-21,"Innlandet",1
"369","Norway",2020-09-22,"Innlandet",3
"370","Norway",2020-09-23,"Innlandet",4
"371","Norway",2020-09-24,"Innlandet",5
"372","Norway",2020-09-25,"Innlandet",4
"373","Norway",2020-09-26,"Innlandet",7
"374","Norway",2020-09-27,"Innlandet",1
"375","Norway",2020-09-28,"Innlandet",1
"376","Norway",2020-09-29,"Innlandet",5
"377","Norway",2020-09-30,"Innlandet",11
"378","Norway",2020-10-01,"Innlandet",3
"379","Norway",2020-03-26,"Møre og Romsdal",71
"380","Norway",2020-03-27,"Møre og Romsdal",3
"381","Norway",2020-03-28,"Møre og Romsdal",6
"382","Norway",2020-03-29,"Møre og Romsdal",1
"383","Norway",2020-03-30,"Møre og Romsdal",0
"384","Norway",2020-03-31,"Møre og Romsdal",1
"385","Norway",2020-04-01,"Møre og Romsdal",8
"386","Norway",2020-04-02,"Møre og Romsdal",5
"387","Norway",2020-04-03,"Møre og Romsdal",11
"388","Norway",2020-04-04,"Møre og Romsdal",7
"389","Norway",2020-04-05,"Møre og Romsdal",2
"390","Norway",2020-04-06,"Møre og Romsdal",2
"391","Norway",2020-04-07,"Møre og Romsdal",-2
"392","Norway",2020-04-08,"Møre og Romsdal",1
"393","Norway",2020-04-09,"Møre og Romsdal",0
"394","Norway",2020-04-10,"Møre og Romsdal",0
"395","Norway",2020-04-11,"Møre og Romsdal",0
"396","Norway",2020-04-12,"Møre og Romsdal",0
"397","Norway",2020-04-13,"Møre og Romsdal",1
"398","Norway",2020-04-14,"Møre og Romsdal",0
"399","Norway",2020-04-15,"Møre og Romsdal",0
"400","Norway",2020-04-16,"Møre og Romsdal",1
"401","Norway",2020-04-17,"Møre og Romsdal",0
"402","Norway",2020-04-18,"Møre og Romsdal",0
"403","Norway",2020-04-19,"Møre og Romsdal",0
"404","Norway",2020-04-20,"Møre og Romsdal",0
"405","Norway",2020-04-21,"Møre og Romsdal",0
"406","Norway",2020-04-22,"Møre og Romsdal",0
"407","Norway",2020-04-23,"Møre og Romsdal",1
"408","Norway",2020-04-24,"Møre og Romsdal",1
"409","Norway",2020-04-25,"Møre og Romsdal",1
"410","Norway",2020-04-26,"Møre og Romsdal",0
"411","Norway",2020-04-27,"Møre og Romsdal",0
"412","Norway",2020-04-28,"Møre og Romsdal",1
"413","Norway",2020-04-29,"Møre og Romsdal",1
"414","Norway",2020-04-30,"Møre og Romsdal",0
"415","Norway",2020-05-01,"Møre og Romsdal",0
"416","Norway",2020-05-02,"Møre og Romsdal",0
"417","Norway",2020-05-03,"Møre og Romsdal",0
"418","Norway",2020-05-04,"Møre og Romsdal",0
"419","Norway",2020-05-05,"Møre og Romsdal",0
"420","Norway",2020-05-06,"Møre og Romsdal",0
"421","Norway",2020-05-07,"Møre og Romsdal",4
"422","Norway",2020-05-08,"Møre og Romsdal",0
"423","Norway",2020-05-09,"Møre og Romsdal",0
"424","Norway",2020-05-10,"Møre og Romsdal",0
"425","Norway",2020-05-11,"Møre og Romsdal",0
"426","Norway",2020-05-12,"Møre og Romsdal",2
"427","Norway",2020-05-13,"Møre og Romsdal",2
"428","Norway",2020-05-14,"Møre og Romsdal",1
"429","Norway",2020-05-15,"Møre og Romsdal",0
"430","Norway",2020-05-16,"Møre og Romsdal",1
"431","Norway",2020-05-17,"Møre og Romsdal",0
"432","Norway",2020-05-18,"Møre og Romsdal",0
